"taxon_order","taxon_family","records","sources","ts","spp_n","spp"
"Archaeognatha","Machilidae",5,1,1,NA,NA
"Archaeognatha","Meinertellidae",202,1,24,NA,NA
"Archaeognatha",NA,17,2,10,NA,NA
"Blattodea","Blattidae",491,3,39,3,1
"Blattodea","Corydiidae",41,1,10,NA,NA
"Blattodea","Ectobiidae",86,1,15,NA,NA
"Blattodea","Kalotermitidae",2,1,2,NA,NA
"Blattodea","Polyphagidae",52,1,13,NA,NA
"Blattodea","Termitidae",395,1,40,NA,NA
"Blattodea",NA,1,1,1,NA,NA
"Coleoptera","Aderidae",17,2,2,17,3
"Coleoptera","Agyrtidae",8,2,4,8,2
"Coleoptera","Amphizoidae",2,1,1,2,1
"Coleoptera","Anobiidae",337,11,18,301,24
"Coleoptera","Anthicidae",592,8,66,132,7
"Coleoptera","Anthribidae",80,3,5,45,6
"Coleoptera","Aphodiidae",5973,9,39,5365,85
"Coleoptera","Apionidae",1633,5,10,1551,37
"Coleoptera","Attelabidae",619,6,37,617,12
"Coleoptera","Biphyllidae",8,2,7,4,1
"Coleoptera","Bolboceratidae",30,1,1,NA,NA
"Coleoptera","Bostrichidae",50,3,4,1,1
"Coleoptera","Brachyceridae",86,8,33,65,7
"Coleoptera","Brentidae",142,3,7,141,14
"Coleoptera","Bruchidae",118,4,11,NA,NA
"Coleoptera","Buprestidae",111,10,14,26,8
"Coleoptera","Byrrhidae",6,4,5,5,3
"Coleoptera","Byturidae",41,3,5,41,2
"Coleoptera","Cantharidae",2951,11,23,1322,49
"Coleoptera","Carabidae",46256,23,177,43806,544
"Coleoptera","Caridae",5,1,1,NA,NA
"Coleoptera","Cerambycidae",725,15,46,597,72
"Coleoptera","Cerylonidae",70,3,5,68,4
"Coleoptera","Cetoniidae",37,5,16,20,9
"Coleoptera","Chrysomelidae",5337,24,382,4177,168
"Coleoptera","Ciidae",154,4,8,148,19
"Coleoptera","Clambidae",22,4,6,10,2
"Coleoptera","Cleridae",119,7,10,60,7
"Coleoptera","Coccinellidae",45272,15,65,44870,57
"Coleoptera","Corylophidae",256,9,62,54,11
"Coleoptera","Cryptophagidae",659,8,29,586,51
"Coleoptera","Cucujidae",55,4,15,2,1
"Coleoptera","Curculionidae",7401,28,506,5778,311
"Coleoptera","Dascillidae",6,1,1,NA,NA
"Coleoptera","Dasytidae",38,5,7,8,1
"Coleoptera","Dermestidae",161,7,17,60,10
"Coleoptera","Derodontidae",1,1,1,1,1
"Coleoptera","Discolomatidae",12,1,1,NA,NA
"Coleoptera","Drilidae",4,2,3,4,1
"Coleoptera","Dryophthoridae",271,6,31,16,1
"Coleoptera","Dryopidae",1724,12,733,46,4
"Coleoptera","Dynastidae",484,4,12,333,15
"Coleoptera","Dytiscidae",75141,23,8020,15761,136
"Coleoptera","Elateridae",1647,10,75,1167,55
"Coleoptera","Elmidae",163550,17,8058,62897,46
"Coleoptera","Endomychidae",18,3,8,14,3
"Coleoptera","Erotylidae",68,3,8,66,8
"Coleoptera","Eucinetidae",10,1,1,NA,NA
"Coleoptera","Eucnemidae",57,3,5,52,8
"Coleoptera","Eulichadidae",5,1,1,5,1
"Coleoptera","Eupsilobiidae",1,1,1,NA,NA
"Coleoptera","Georissidae",1,1,1,NA,NA
"Coleoptera","Geotrupidae",492,3,25,491,6
"Coleoptera","Gyrinidae",30307,14,4929,6110,13
"Coleoptera","Haliplidae",39272,15,5274,6268,21
"Coleoptera","Helophoridae",1598,12,838,633,17
"Coleoptera","Helotidae",4,1,1,NA,NA
"Coleoptera","Heteroceridae",179,4,5,175,5
"Coleoptera","Histeridae",236,6,55,53,20
"Coleoptera","Hybosoridae",1,1,1,1,1
"Coleoptera","Hydraenidae",21533,15,4307,5292,21
"Coleoptera","Hydrochidae",68,5,52,10,5
"Coleoptera","Hydrophilidae",24111,22,6089,2952,77
"Coleoptera","Hydroscaphidae",73,3,13,2,1
"Coleoptera","Hygrobiidae",64,2,37,45,1
"Coleoptera","Kateretidae",37,3,4,37,5
"Coleoptera","Laemophloeidae",13,2,4,12,5
"Coleoptera","Lampyridae",9899,12,28,30,4
"Coleoptera","Languriidae",1,1,1,NA,NA
"Coleoptera","Latridiidae",836,8,53,633,33
"Coleoptera","Leiodidae",704,7,65,333,52
"Coleoptera","Limnichidae",11,2,4,NA,NA
"Coleoptera","Lucanidae",90,4,22,85,9
"Coleoptera","Lutrochidae",29,1,3,NA,NA
"Coleoptera","Lycidae",41,3,6,39,5
"Coleoptera","Lymexylidae",31,2,4,31,2
"Coleoptera","Malachiidae",170,4,7,160,4
"Coleoptera","Melandryidae",220,6,13,94,15
"Coleoptera","Meloidae",78,6,20,25,5
"Coleoptera","Melolonthidae",741,13,45,470,27
"Coleoptera","Melyridae",495,7,38,349,13
"Coleoptera","Monotomidae",165,4,6,164,11
"Coleoptera","Mordellidae",221,11,16,80,11
"Coleoptera","Mycetophagidae",74,5,21,50,8
"Coleoptera","Mycteridae",1,1,1,NA,NA
"Coleoptera","Nemonychidae",12,1,2,12,2
"Coleoptera","Nitidulidae",1230,13,48,984,59
"Coleoptera","Nosodendridae",1,1,1,1,1
"Coleoptera","Noteridae",943,7,364,480,3
"Coleoptera","Oedemeridae",194,5,9,143,11
"Coleoptera","Omalisidae",23,2,3,23,1
"Coleoptera","Orsodacnidae",4,2,2,4,1
